symbol,name,exchange,has_history,can_predict,prediction_mode,ui_greyed,ui_badge,last_updated
AERONEU.NS,Aeroflex Neu Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AETHER.NS,Aether Industries Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AFCONS.NS,Afcons Infrastructure Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AFFLE.NS,Affle 3i Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AFFORDABLE.NS,Affordable Robotic & Automation Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AFIL.NS,Akme Fintrade (India) Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AFSL.NS,Abans Financial Services Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AGARIND.NS,Agarwal Industrial Corporation Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AGARWALEYE.NS,Dr. Agarwal's Health Care Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AGI.NS,AGI Greenpac Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AGIIL.NS,Agi Infra Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AGRITECH.NS,Agri-Tech (India) Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AGROPHOS.NS,Agro Phos India Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AGSTRA.NS,AGS Transact Technologies Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AHCL.NS,Anlon Healthcare Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AHLADA.NS,Ahlada Engineers Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AHLEAST.NS,Asian Hotels (East) Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AHLUCONT.NS,Ahluwalia Contracts (India) Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AIAENG.NS,AIA Engineering Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AIIL.NS,Authum Investment & Infrastructure Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AIRAN.NS,Airan Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AIROLAM.NS,Airo Lam limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AJANTPHARM.NS,Ajanta Pharma Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AJAXENGG.NS,Ajax Engineering Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AJMERA.NS,Ajmera Realty & Infra India Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AJOONI.NS,Ajooni Biotech Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AKASH.NS,Akash Infra-Projects Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AKG.NS,Akg Exim Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AKI.NS,AKI India Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AKSHAR.NS,Akshar Spintex Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AKSHARCHEM.NS,AksharChem India Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AKSHOPTFBR.NS,Aksh Optifibre Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AKUMS.NS,Akums Drugs and Pharmaceuticals Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AKZOINDIA.NS,Akzo Nobel India Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
